brand,product_name,ingredients,rating,skin_condition_target,category
Cerave,Foaming Facial Cleanser,"Aqua, Glycerin, Coco-Betaine, Niacinamide, Sodium Chloride, Sodium Cocoyl Glycinate",4.7,"Normal, Acne",Cleanser
The Ordinary,Niacinamide 10% + Zinc 1%,"Aqua, Niacinamide, Pentylene Glycol, Zinc PCA, Dimethyl Isosorbide",4.5,"Acne, Dark Spots",Serum
Paula's Choice,Skin Perfecting 2% BHA,"Aqua, Methylpropanediol, Salicylic Acid, Polysorbate 20, Camellia Oleifera",4.8,"Acne, Uneven Texture",Exfoliant
Neutrogena,Hydro Boost Water Gel,"Aqua, Dimethicone, Glycerin, Cetearyl Olivate, Sorbitan Olivate",4.6,"Normal, Uneven Texture",Moisturizer
La Roche-Posay,Effaclar Duo+,"Aqua, Glycerin, Dimethicone, Isocetyl Stearate, Niacinamide, Salicylic Acid",4.4,"Acne, Dark Spots",Treatment
Innisfree,Green Tea Seed Serum,"Aqua, Propanediol, Glycerin, Alcohol Denat., Camellia Sinensis Leaf Extract",4.5,"Normal",Serum
Kiehl's,Clearly Corrective Dark Spot Solution,"Aqua, Propanediol, Glycerin, Propylene Glycol, Alcohol Denat.",4.3,"Dark Spots",Serum
COSRX,Advanced Snail 96 Mucin,"Snail Secretion Filtrate, Betaine, Butylene Glycol, 1,2-Hexanediol",4.7,"Uneven Texture, Normal",Essence
The Inkey List,Retinol Serum,"Aqua, Glycerin, Dicaprylyl Carbonate, Retinol, Polysorbate 20",4.2,"Uneven Texture, Dark Spots",Serum
Minimalist,Salicylic Acid 2%,"Aloe Vera Leaf Juice, Methylpropanediol, Salicylic Acid, Ethoxydiglycol",4.5,"Acne",Serum
Minimalist,Vitamin C 10% + AG 1%,"Aqua, Ethyl Ascorbic Acid, Propanediol, Ethoxydiglycol, Sodium Hyaluronate",4.4,"Dark Spots, Normal",Serum
Bioderma,Sensibio H2O,"Aqua, PEG-6 Caprylic/Capric Glycerides, Fructooligosaccharides, Mannitol",4.8,"Normal",Cleanser
Eucerin,DermoPure Oil Control,"Aqua, Polymethylsilsesquioxane, Alcohol Denat., Glycerin, Tapioca Starch",4.1,"Acne",Moisturizer
SkinCeuticals,C E Ferulic,"Aqua, Ethoxydiglycol, L-Ascorbic Acid, Glycerin, Propylene Glycol",4.9,"Dark Spots, Uneven Texture",Serum
Olay,Regenerist Micro-Sculpting Cream,"Aqua, Glycerin, Isohexadecane, Niacinamide, Isopropyl Isostearate",4.5,"Uneven Texture",Moisturizer
The Ordinary,AHA 30% + BHA 2% Peeling Solution,"Glycolic Acid, Aqua, Aloe Barbadensis Leaf Water, Sodium Hydroxide",4.6,"Uneven Texture, Acne",Exfoliant
CeraVe,Resurfacing Retinol Serum,"Aqua, Glycerin, Niacinamide, Retinol, Ceramides",4.7,"Dark Spots, Acne",Serum
Neutrogena,Rapid Clear Stubborn Acne,"Aqua, Benzoyl Peroxide, Glycerin, Dimethicone",4.3,"Acne",Treatment
Paula's Choice,10% Niacinamide Booster,"Aqua, Niacinamide, Acetyl Glucosamine, Ascorbyl Glucoside",4.8,"Dark Spots, Uneven Texture",Serum
Skinfood,Black Sugar Mask Wash Off,"Sucrose, PEG-7 Glyceryl Cocoate, Glycerin",4.5,"Uneven Texture",Mask
Clinique,Even Better Clinical Radical Dark Spot Corrector,"Aqua, Dimethicone, Butylene Glycol, Ascorbyl Glucoside",4.4,"Dark Spots",Serum
Laneige,Water Bank Blue Hyaluronic Cream,"Aqua, Butylene Glycol, Glycerin, Squalane",4.7,"Normal",Moisturizer
Hero Cosmetics,Mighty Patch Invisible+,"Hydrocolloid",4.9,"Acne",Patch
